Date,News_Count,Avg_Sentiment,Positive_Sentiment,Negative_Sentiment,Neutral_Sentiment,Max_Sentiment,Min_Sentiment,Sentiment_Std
2011-12-14,3,-0.2893412,0.032975473,0.32231668,0.64470786,0.015129207,-0.8427104,0.4800366
2011-12-16,3,0.014182973,0.051624596,0.037441626,0.9109338,0.028473984,-0.0074898973,0.019084524
2011-12-21,4,-0.24522965,0.04049042,0.28572008,0.6737895,-0.012696281,-0.8153924,0.38463455
2011-12-30,4,0.020620566,0.15792114,0.13730058,0.70477825,0.15646249,-0.04067771,0.09127827
2012-01-03,4,-0.33473146,0.0877277,0.42245916,0.48981315,-0.0084211845,-0.7782013,0.32491496
2012-01-06,2,-0.004930649,0.033317395,0.03824804,0.9284346,-0.0014298707,-0.008431427,0.004950848
2012-01-12,3,-0.3247345,0.06616024,0.39089477,0.542945,0.1325685,-0.9490122,0.5597898
2012-01-18,3,-0.040695656,0.055373292,0.09606895,0.8485578,0.033716705,-0.098177746,0.06755748
2012-01-19,5,-0.605101,0.019577641,0.6246787,0.3557437,0.0042153336,-0.9165278,0.39940557
2012-01-23,4,-0.11920861,0.11030188,0.22951049,0.6601876,0.300082,-0.79800195,0.47410592
2012-01-27,3,0.073776275,0.16523144,0.09145516,0.7433134,0.3463154,-0.113298565,0.2414319
2012-02-01,2,-0.16141506,0.021563698,0.18297875,0.7954576,-0.0088155065,-0.3140146,0.21580836
2012-02-02,2,0.017271202,0.048100162,0.03082896,0.9210708,0.044749416,-0.010207014,0.038860064
2012-02-06,1,0.0204974,0.05908248,0.038585078,0.90233237,0.0204974,0.0204974,0.0
2012-02-07,2,-0.44626558,0.04059224,0.4868578,0.47255003,0.037458986,-0.9299901,0.68408984
2012-02-13,3,-0.0865171,0.16739565,0.25391275,0.5786916,0.28704405,-0.5714031,0.43991792
2012-02-14,6,0.2532565,0.28366208,0.030405581,0.68593234,0.9082896,-0.046588972,0.3512629
2012-02-17,1,-0.15066558,0.048798196,0.19946377,0.75173795,-0.15066558,-0.15066558,0.0
2012-02-22,2,0.3142849,0.32864508,0.014360193,0.6569947,0.5085468,0.12002295,0.27472788
2012-02-27,2,0.20195404,0.2168195,0.014865456,0.7683151,0.2445922,0.15931585,0.060299486
2012-02-28,5,-0.08011383,0.0966862,0.17680003,0.72651374,0.30426684,-0.26658487,0.25293672
2012-03-16,3,0.04940152,0.2862855,0.23688398,0.4768305,0.47865552,-0.32017007,0.4027432
2012-03-20,1,-0.0021179114,0.028611356,0.030729268,0.94065934,-0.0021179114,-0.0021179114,0.0
2012-03-22,1,0.01479793,0.044666786,0.029868856,0.9254644,0.01479793,0.01479793,0.0
2012-03-23,3,-0.47823796,0.08562387,0.5638618,0.35051432,0.20041147,-0.9214138,0.59683233
2012-03-27,1,0.40713304,0.43809715,0.030964099,0.5309387,0.40713304,0.40713304,0.0
2012-03-28,5,-0.25337172,0.17298554,0.42635727,0.40065724,0.54585874,-0.8867673,0.62466335
2012-04-02,2,0.12127544,0.17350057,0.052225124,0.77427435,0.18935141,0.05319947,0.09627396
2012-04-10,1,0.24971165,0.26086694,0.011155295,0.72797775,0.24971165,0.24971165,0.0
2012-04-11,2,0.044788923,0.27350733,0.2287184,0.49777427,0.06075576,0.028822089,0.022580516
2012-04-12,4,-0.106722526,0.13313566,0.23985818,0.6270062,0.21431075,-0.41191736,0.28988898
2012-04-25,2,0.11500257,0.13496716,0.019964589,0.8450682,0.13797483,0.092030324,0.03248767
2012-05-10,4,-0.39197302,0.063888274,0.45586133,0.48025045,0.051409148,-0.9323867,0.49738613
2012-05-21,4,-0.34049383,0.1327284,0.47322226,0.39404938,0.26078975,-0.9504816,0.6526535
2012-05-29,3,-0.04075678,0.090524696,0.13128148,0.7781938,0.13119712,-0.2773961,0.21183781
2012-06-01,3,-0.44918373,0.04105467,0.49023843,0.46870697,0.027930815,-0.9105548,0.46944085
2012-06-11,2,0.07202036,0.108482994,0.03646264,0.8550544,0.15428662,-0.010245908,0.11634207
2012-06-12,2,0.18548496,0.25300634,0.067521386,0.6794722,0.25388324,0.11708668,0.09672978
2012-06-15,5,0.103190675,0.15491137,0.051720697,0.7933679,0.4090373,-0.08488891,0.18730566
